,NAME,r ankle_X,r ankle_Y,r knee_X,r knee_Y,r hip_X,r hip_Y,l hip_X,l hip_Y,l knee_X,l knee_Y,l ankle_X,l ankle_Y,pelvis_X,pelvis_Y,thorax_X,thorax_Y,upper neck_X,upper neck_Y,head top_X,head top_Y,r wrist_X,r wrist_Y,r elbow_X,r elbow_Y,r shoulder_X,r shoulder_Y,l shoulder_X,l shoulder_Y,l elbow_X,l elbow_Y,l wrist_X,l wrist_Y,head box_x1,head box_y1,head box_x2,head box_y2,Category
10,070807258.jpg,461,398,509,335,517,218,570,203,-1,-1,-1,-1,544,211,620,273,-1,-1,-1,-1,537,288,503,234,587,280,652,265,636,356,621,417,609,259,674,335,sports
11,070807258.jpg,896,436,-1,-1,885,295,852,363,797,442,823,505,869,329,737,323,-1,-1,-1,-1,804,305,804,237,741,285,732,361,758,411,757,485,652,301,716,364,sports
12,002058449.jpg,918,456,659,518,713,413,979,288,1222,453,-1,-1,846,351,738,259,-1,-1,-1,-1,441,490,446,434,599,270,877,247,1112,384,1012,489,595,79,798,358,sports
46,003438852.jpg,349,393,298,350,318,236,355,231,354,351,363,441,337,234,341,152,-1,-1,-1,-1,305,103,275,158,312,145,370,159,377,223,398,276,312,65,360,128,water activities
47,003438852.jpg,411,397,384,311,457,306,486,315,450,421,-1,-1,472,311,464,220,-1,-1,-1,-1,400,216,406,257,441,213,487,227,442,277,404,320,435,140,479,207,water activities
48,003438852.jpg,577,467,556,403,624,311,578,313,585,415,608,470,601,312,607,240,-1,-1,-1,-1,624,361,630,289,636,238,577,241,547,286,522,329,582,161,621,218,water activities
49,003438852.jpg,-1,-1,699,433,756,330,715,333,717,438,-1,-1,736,332,745,251,-1,-1,-1,-1,782,368,778,319,777,253,713,248,680,306,640,355,724,160,769,229,water activities
50,003438852.jpg,794,490,797,412,805,301,859,294,863,416,857,496,832,298,840,226,-1,-1,-1,-1,880,207,851,244,809,222,871,230,871,286,870,335,834,155,884,225,water activities
51,003438852.jpg,-1,-1,920,447,941,342,982,351,994,447,-1,-1,962,347,-1,-1,-1,-1,-1,-1,1005,221,991,269,946,243,995,246,999,311,1002,365,958,174,1009,244,water activities
52,003438852.jpg,1032,537,1043,462,1050,343,1098,351,1115,457,1116,542,1074,347,-1,-1,-1,-1,-1,-1,1124,252,1104,292,1047,258,1104,249,1107,306,1109,356,1073,187,1120,259,water activities
56,052006802.jpg,110,330,134,338,118,298,144,311,153,338,-1,-1,131,305,173,296,-1,-1,-1,-1,107,286,137,272,162,289,184,302,200,321,223,330,170,268,200,302,water activities
57,052006802.jpg,306,358,331,320,324,260,341,268,351,320,326,355,333,264,363,206,-1,-1,-1,-1,352,155,347,180,365,206,361,206,389,176,385,162,339,175,371,204,water activities
58,052006802.jpg,510,366,499,317,507,267,533,266,525,318,537,365,520,267,509,207,-1,-1,-1,-1,466,166,476,188,493,207,524,206,530,175,524,159,488,177,521,213,water activities
59,052006802.jpg,712,360,682,330,705,312,728,309,702,327,726,356,-1,-1,680,286,-1,-1,-1,-1,643,323,659,309,663,286,696,286,724,296,749,306,653,255,689,289,water activities
60,054671028.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,417,243,-1,-1,-1,-1,433,291,233,302,308,234,525,252,733,282,541,301,359,34,500,238,water activities
101,088721274.jpg,218,383,204,314,191,241,236,238,239,313,257,380,214,240,198,146,-1,-1,-1,-1,-1,-1,175,203,166,153,229,138,249,190,-1,-1,163,79,211,130,sports
102,088721274.jpg,-1,-1,41,402,34,341,72,329,61,349,68,398,53,335,45,278,-1,-1,-1,-1,23,324,21,306,22,281,68,275,80,313,85,347,22,224,59,269,sports
103,088721274.jpg,293,375,295,322,293,269,345,255,320,317,321,390,319,262,305,206,-1,-1,-1,-1,271,256,268,230,270,208,340,204,354,241,333,286,270,160,319,220,sports
104,088721274.jpg,409,380,418,321,417,262,463,252,455,317,452,399,440,257,405,203,-1,-1,-1,-1,381,314,385,259,372,216,438,189,472,238,451,287,370,162,420,216,sports
105,088721274.jpg,532,390,533,323,532,257,586,250,592,321,597,388,559,254,551,155,-1,-1,-1,-1,517,255,502,209,514,159,588,150,614,209,593,252,530,107,571,157,sports
106,088721274.jpg,642,383,656,312,667,225,731,224,731,314,723,384,699,225,699,138,-1,-1,-1,-1,645,223,636,179,662,139,736,136,761,174,750,213,671,82,721,139,sports
107,088721274.jpg,798,387,788,314,779,225,832,226,833,310,837,385,806,226,810,138,-1,-1,-1,-1,-1,-1,-1,-1,777,138,843,138,-1,-1,-1,-1,782,65,835,127,sports
108,047221493.jpg,112,394,117,297,99,206,156,233,174,298,181,391,128,220,214,179,-1,-1,-1,-1,125,273,152,225,197,169,231,188,202,234,178,272,217,118,269,182,sports
109,047221493.jpg,293,379,294,291,303,187,352,189,358,287,359,375,328,188,325,85,-1,-1,-1,-1,-1,-1,270,147,286,84,363,86,377,148,-1,-1,316,13,363,88,sports
110,047221493.jpg,446,369,433,296,434,209,485,205,508,282,531,366,460,207,455,86,-1,-1,-1,-1,414,168,372,135,413,86,497,86,528,129,507,174,433,9,483,73,sports
111,047221493.jpg,706,371,716,289,718,178,779,199,-1,-1,771,370,-1,-1,746,72,-1,-1,-1,-1,702,150,656,110,708,75,783,69,834,106,-1,-1,703,11,763,78,sports
112,011959425.jpg,-1,-1,-1,-1,173,424,287,396,-1,-1,-1,-1,230,410,175,163,-1,-1,-1,-1,258,344,101,330,108,171,241,155,279,269,299,321,155,13,277,157,sports
113,011959425.jpg,-1,-1,-1,-1,433,390,552,372,-1,-1,-1,-1,493,381,480,195,-1,-1,-1,-1,432,348,387,299,410,199,550,190,576,290,511,310,443,80,531,184,sports
114,011959425.jpg,-1,-1,743,461,739,388,810,397,795,463,-1,-1,775,393,763,291,-1,-1,-1,-1,-1,-1,-1,-1,722,292,803,290,830,346,832,398,705,213,790,295,sports
115,071324479.jpg,169,358,172,282,170,190,224,192,227,277,228,352,197,191,203,98,-1,-1,-1,-1,220,140,162,145,162,97,243,99,240,142,194,130,188,33,226,96,sports
116,071324479.jpg,-1,-1,288,260,289,171,352,168,357,260,-1,-1,321,170,326,65,-1,-1,-1,-1,272,166,270,123,286,67,366,63,380,124,365,170,302,0,349,66,sports
117,071324479.jpg,424,355,437,275,446,199,499,196,514,273,527,355,473,198,467,127,-1,-1,-1,-1,434,238,426,185,429,128,505,126,514,186,506,235,443,77,491,145,sports
118,071324479.jpg,611,362,587,272,595,183,646,185,631,276,623,365,621,184,597,80,-1,-1,-1,-1,585,120,561,143,565,85,629,75,636,145,586,115,543,22,603,87,sports
119,076078505.jpg,-1,-1,602,859,595,563,736,550,702,856,-1,-1,666,557,647,335,-1,-1,-1,-1,573,752,542,591,525,346,769,324,818,522,740,693,571,179,705,356,sports
120,076078505.jpg,1108,867,1055,646,930,540,1056,535,1136,620,1124,776,-1,-1,996,370,-1,-1,-1,-1,1058,545,938,523,902,380,1089,359,1094,502,1025,389,959,217,1067,347,sports
121,076078505.jpg,1183,822,1195,610,1201,559,1309,568,1403,641,1277,820,1255,564,1241,302,-1,-1,-1,-1,1167,555,1115,437,1139,297,1342,307,1376,461,1389,566,1203,132,1300,263,sports
122,076078505.jpg,254,745,103,535,13,534,154,521,102,627,123,890,-1,-1,85,337,-1,-1,-1,-1,166,517,24,473,6,357,163,317,221,488,247,635,0,156,124,319,sports
134,042754102.jpg,674,492,671,427,673,370,628,362,617,422,603,480,651,366,663,277,-1,-1,-1,-1,697,367,696,329,693,281,633,273,619,322,606,357,642,211,686,266,winter activities
135,042754102.jpg,769,461,779,416,804,361,770,358,754,408,737,456,787,360,798,296,-1,-1,-1,-1,772,276,-1,-1,818,292,778,300,741,296,707,291,774,245,814,285,winter activities
136,002541913.jpg,366,358,363,241,335,358,245,359,-1,-1,-1,-1,290,359,282,231,-1,-1,-1,-1,441,376,384,329,337,246,226,215,196,291,215,359,249,121,341,205,winter activities
137,010789143.jpg,382,521,365,400,318,304,251,308,311,383,322,467,285,306,-1,-1,-1,-1,-1,-1,432,280,382,238,339,164,267,162,-1,-1,-1,-1,274,84,353,156,winter activities
138,003142919.jpg,288,688,274,555,181,430,129,429,205,547,213,652,-1,-1,-1,-1,-1,-1,-1,-1,262,350,226,323,214,171,146,134,-1,-1,-1,-1,184,18,279,139,winter activities
139,063641041.jpg,630,287,639,265,645,238,664,239,658,266,649,291,655,239,662,202,-1,-1,-1,-1,636,236,640,219,647,200,677,203,677,216,675,227,652,174,674,199,winter activities
140,063641041.jpg,239,351,242,296,216,246,180,244,212,294,221,347,198,245,222,200,-1,-1,-1,-1,-1,-1,241,249,240,201,203,198,-1,-1,-1,-1,215,161,258,200,winter activities
141,031435598.jpg,873,526,873,485,874,427,844,426,845,482,844,526,859,427,858,376,-1,-1,-1,-1,891,440,895,416,881,374,834,377,824,413,823,443,844,335,868,368,winter activities
142,050857069.jpg,933,1074,897,968,863,773,746,794,762,1015,-1,-1,805,784,774,609,-1,-1,-1,-1,-1,-1,-1,-1,837,603,711,614,670,682,-1,-1,723,495,807,593,winter activities
143,090756647.jpg,1437,624,1381,547,1319,455,1395,428,1452,533,1499,620,1357,442,1331,311,-1,-1,-1,-1,1225,402,1232,374,1268,318,1393,304,1442,332,1496,358,1293,228,1365,321,winter activities
144,024929223.jpg,230,930,354,784,500,630,642,681,474,802,373,936,571,656,663,410,-1,-1,-1,-1,314,443,429,415,563,370,762,450,824,603,805,689,589,288,705,428,winter activities
145,041038292.jpg,829,825,859,686,891,514,988,515,1007,696,984,823,940,515,921,309,-1,-1,-1,-1,770,471,791,395,838,315,1003,302,1047,436,1019,549,868,202,963,321,winter activities
146,075555114.jpg,736,646,752,484,681,370,783,368,856,485,853,650,732,369,752,205,-1,-1,-1,-1,601,306,600,265,673,195,831,215,889,294,966,353,737,102,823,228,winter activities
147,022879817.jpg,923,630,901,532,836,449,882,415,862,515,-1,-1,859,432,-1,-1,-1,-1,-1,-1,524,298,626,288,712,215,778,332,649,418,513,407,605,211,702,321,winter activities
148,007697991.jpg,-1,-1,455,648,664,619,854,630,931,715,-1,-1,759,625,798,314,-1,-1,-1,-1,473,381,545,299,704,307,892,321,1051,205,1038,9,732,98,905,348,winter activities
149,016122129.jpg,253,336,234,286,245,236,265,235,250,291,269,348,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,221,177,238,177,244,215,216,221,195,138,226,178,winter activities
150,092969765.jpg,408,398,442,337,446,187,362,181,394,321,341,384,404,184,-1,-1,-1,-1,-1,-1,539,96,503,64,490,95,392,140,351,142,-1,-1,475,104,517,152,winter activities
151,080812038.jpg,-1,-1,-1,-1,178,365,284,424,-1,-1,-1,-1,233,403,426,230,414,237,567,124,441,414,346,359,369,225,437,197,389,284,428,325,440,99,570,262,winter activities
152,080812038.jpg,436,475,488,430,445,337,501,333,471,400,489,476,420,276,563,146,581,141,717,72,582,180,514,285,530,385,598,204,596,282,596,365,613,49,725,200,winter activities
153,063340376.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,216,372,-1,-1,-1,-1,295,419,276,414,255,370,176,374,161,400,-1,-1,205,300,243,352,winter activities
154,087146059.jpg,-1,-1,265,472,290,394,345,401,335,472,-1,-1,318,398,301,291,-1,-1,-1,-1,240,382,255,339,261,302,340,280,360,354,328,336,262,211,305,275,winter activities
155,087146059.jpg,496,471,-1,-1,474,388,496,382,486,434,486,476,485,385,484,334,-1,-1,-1,-1,439,375,449,357,464,332,503,336,522,364,529,392,468,305,498,339,winter activities
156,087146059.jpg,566,423,567,391,570,362,589,369,592,394,592,418,580,366,575,329,-1,-1,-1,-1,565,361,563,351,564,329,586,329,596,355,582,367,564,305,583,328,winter activities
157,080367208.jpg,-1,-1,357,438,353,356,433,356,415,455,-1,-1,393,356,407,202,-1,-1,-1,-1,545,225,-1,-1,467,198,346,205,311,244,309,293,398,101,458,169,winter activities
158,018657006.jpg,-1,-1,-1,-1,422,423,499,429,-1,-1,-1,-1,461,426,474,307,-1,-1,-1,-1,345,316,362,331,423,305,524,309,586,351,612,345,450,232,518,326,winter activities
159,089255900.jpg,247,328,255,282,280,220,316,232,293,275,287,336,298,226,314,166,-1,-1,-1,-1,255,230,252,185,284,156,344,176,353,215,346,246,308,122,345,158,winter activities
162,089609130.jpg,-1,-1,355,278,380,272,441,272,426,283,429,341,411,272,422,209,-1,-1,-1,-1,362,243,382,239,393,205,450,212,455,252,428,244,403,168,427,198,sports
163,031800347.jpg,526,284,509,205,570,175,616,181,595,223,570,293,-1,-1,590,94,-1,-1,-1,-1,-1,-1,550,140,561,91,618,96,626,160,575,168,559,7,615,80,sports
164,031800347.jpg,608,323,-1,-1,651,202,700,201,649,245,649,338,-1,-1,686,127,-1,-1,-1,-1,626,196,646,166,647,122,724,132,724,192,655,208,653,35,711,114,sports
173,033761517.jpg,49,876,55,727,38,487,200,524,219,729,243,887,119,506,121,243,-1,-1,-1,-1,3,519,-1,-1,25,232,217,254,265,409,256,539,41,67,147,179,conditioning exercise
174,033761517.jpg,-1,-1,383,1064,341,726,546,731,539,1069,-1,-1,444,729,447,425,-1,-1,-1,-1,398,808,299,657,312,425,581,425,598,637,628,808,360,172,505,334,conditioning exercise
175,033761517.jpg,1142,1074,1168,897,1193,657,1331,657,1343,885,1358,1072,1262,657,1266,311,-1,-1,-1,-1,1100,676,1110,513,1144,317,1387,305,1426,508,1443,666,1209,109,1321,269,conditioning exercise
176,033761517.jpg,1585,831,1602,634,1592,468,1736,506,1724,674,1691,826,1664,487,1676,275,-1,-1,-1,-1,1566,511,1568,386,1583,282,1768,268,1775,383,1785,487,1647,110,1726,231,conditioning exercise
177,033761517.jpg,-1,-1,-1,-1,1655,373,1789,373,1792,539,1799,677,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1658,184,1822,214,1833,331,1831,417,1729,79,1791,159,conditioning exercise
178,094290970.jpg,216,696,254,600,314,514,383,510,429,602,-1,-1,-1,-1,328,420,-1,-1,-1,-1,266,493,245,468,279,416,377,423,370,475,324,498,284,338,345,412,conditioning exercise
179,094290970.jpg,256,790,347,703,422,634,530,619,-1,-1,-1,-1,476,627,425,507,-1,-1,-1,-1,268,557,256,535,350,513,499,501,460,554,345,564,381,419,457,521,conditioning exercise
180,094290970.jpg,313,951,501,848,614,742,737,754,799,824,773,941,676,748,696,626,-1,-1,-1,-1,669,723,580,776,592,629,799,622,828,742,734,715,638,450,726,572,conditioning exercise
181,094290970.jpg,1036,917,1065,747,1188,660,1306,658,1438,795,1551,925,-1,-1,1245,481,-1,-1,-1,-1,1183,672,1145,583,1157,484,1332,477,1347,581,1289,672,1209,353,1300,490,conditioning exercise
182,094290970.jpg,-1,-1,1383,597,1418,556,1477,560,-1,-1,-1,-1,1448,558,1455,477,-1,-1,-1,-1,1443,536,1402,552,1404,470,1506,483,1508,562,1482,536,1441,409,1491,472,conditioning exercise
183,094290970.jpg,-1,-1,1466,687,1528,598,1610,614,1685,720,1795,821,-1,-1,1596,499,-1,-1,-1,-1,1593,571,1528,593,1536,489,1656,509,1637,619,1629,585,1571,398,1640,491,conditioning exercise
184,032320293.jpg,1200,913,1196,734,1191,507,1301,508,1307,744,1294,874,1246,508,1264,262,-1,-1,-1,-1,1147,516,1124,391,1157,266,1371,257,1408,408,1330,518,1160,83,1317,230,conditioning exercise
185,032320293.jpg,691,885,660,709,622,502,723,500,723,702,739,897,673,501,649,279,-1,-1,-1,-1,562,510,563,411,563,282,734,276,810,382,746,476,587,123,687,253,conditioning exercise
186,032320293.jpg,-1,-1,756,514,751,366,827,358,833,502,827,621,789,362,773,188,-1,-1,-1,-1,-1,-1,-1,-1,704,191,842,184,883,263,861,339,750,63,813,157,conditioning exercise
187,051879062.jpg,403,925,335,802,359,605,535,595,554,800,598,929,447,600,410,451,-1,-1,-1,-1,280,518,285,590,311,441,509,460,499,631,415,554,347,328,438,440,conditioning exercise
188,051879062.jpg,471,710,-1,-1,467,418,521,436,584,576,638,703,-1,-1,446,278,-1,-1,-1,-1,309,365,319,307,373,268,519,287,515,397,432,358,419,164,486,252,conditioning exercise
189,051879062.jpg,1026,795,1053,610,1043,480,1185,468,1211,605,1214,780,1114,474,1124,233,-1,-1,-1,-1,1009,374,978,309,1026,232,1221,234,1252,345,1170,374,1084,90,1160,216,conditioning exercise
190,051879062.jpg,1299,532,1336,422,1367,327,1448,341,1439,450,1430,525,-1,-1,1421,256,-1,-1,-1,-1,1355,346,1350,283,1376,245,1465,266,1469,325,1437,388,1414,172,1467,248,conditioning exercise
191,051879062.jpg,1461,696,1508,591,1544,456,1641,459,1647,587,1651,715,1593,458,1631,279,-1,-1,-1,-1,1527,347,1497,347,1557,281,1705,277,1739,358,1705,371,1616,169,1686,267,conditioning exercise
192,070301896.jpg,537,1057,446,879,470,691,561,689,516,886,590,1047,516,690,530,450,-1,-1,-1,-1,393,571,-1,-1,484,436,576,463,585,588,482,593,476,266,595,419,conditioning exercise
193,070301896.jpg,956,956,813,706,997,517,1186,519,1000,752,1084,1053,1056,515,972,239,-1,-1,-1,-1,873,485,896,392,848,262,1096,215,1226,429,1049,572,841,19,981,205,conditioning exercise
194,070301896.jpg,1217,837,1194,686,1196,546,1261,544,1249,682,1270,843,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1200,393,1282,397,1265,481,1221,412,1216,286,1281,367,conditioning exercise
195,036362960.jpg,906,1027,1083,921,978,602,1154,597,1146,904,-1,-1,1066,600,1103,265,-1,-1,-1,-1,949,634,912,463,986,266,1220,263,1240,468,1268,585,1081,31,1212,226,conditioning exercise
196,036362960.jpg,1603,761,1634,641,1622,470,1718,468,1769,617,-1,-1,1670,469,-1,-1,-1,-1,-1,-1,1653,458,-1,-1,1641,291,-1,-1,-1,-1,1747,415,1676,179,1771,295,conditioning exercise
197,097178208.jpg,88,611,122,600,126,517,215,503,245,577,234,666,171,510,165,375,-1,-1,-1,-1,62,202,86,282,113,378,217,372,228,289,228,211,121,276,181,347,conditioning exercise
198,097178208.jpg,442,687,503,716,543,579,624,590,657,622,669,767,584,585,565,399,-1,-1,-1,-1,445,221,463,335,507,400,622,398,678,335,716,234,524,303,607,390,conditioning exercise
199,097178208.jpg,927,744,1018,790,1114,658,1177,677,1261,715,1232,865,1146,668,1157,466,-1,-1,-1,-1,1129,275,1112,374,1105,472,1208,460,1276,376,1316,275,1121,367,1212,462,conditioning exercise
200,097178208.jpg,-1,-1,-1,-1,1150,448,1217,436,1259,494,1253,578,-1,-1,1185,335,-1,-1,-1,-1,1150,240,1144,299,1151,339,1219,330,1252,297,1280,246,1171,276,1209,321,conditioning exercise
201,097178208.jpg,-1,-1,1366,699,1450,598,1535,590,1643,660,1595,809,1493,594,-1,-1,-1,-1,-1,-1,1508,193,1465,297,1431,395,1532,379,1551,292,1549,198,1459,290,1541,388,conditioning exercise
202,097178208.jpg,1396,615,-1,-1,1571,499,1609,499,1696,560,1701,671,-1,-1,-1,-1,-1,-1,-1,-1,1585,223,1578,296,1562,383,1611,367,1658,313,1673,237,1574,284,1624,345,conditioning exercise
203,096244729.jpg,-1,-1,-1,-1,241,803,540,775,-1,-1,-1,-1,391,789,353,401,-1,-1,-1,-1,255,976,188,738,177,409,529,392,588,708,624,914,274,78,455,340,conditioning exercise
204,096244729.jpg,-1,-1,-1,-1,1335,843,1635,846,-1,-1,-1,-1,1485,845,1488,403,-1,-1,-1,-1,1297,746,1214,702,1279,399,1697,407,1800,717,1624,776,1372,26,1553,329,conditioning exercise
205,025178230.jpg,-1,-1,-1,-1,823,845,1056,851,-1,-1,-1,-1,-1,-1,961,446,-1,-1,-1,-1,845,882,789,690,817,438,1105,454,1111,671,1025,876,878,164,1028,379,bicycling
206,049724851.jpg,-1,-1,-1,-1,1513,815,1314,698,-1,-1,-1,-1,1414,757,1469,415,-1,-1,-1,-1,-1,-1,1627,692,1609,439,1329,391,1242,566,1110,758,1329,184,1509,359,bicycling
207,030087831.jpg,940,606,879,418,752,322,679,292,818,482,803,573,716,307,750,112,-1,-1,-1,-1,889,330,788,236,712,112,788,112,864,168,960,206,719,5,824,95,bicycling
208,028484049.jpg,1397,855,1348,661,1374,401,1448,393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1093,553,1152,433,1157,289,1244,300,-1,-1,-1,-1,1059,138,1197,305,conditioning exercise
209,003688695.jpg,-1,-1,792,711,811,493,933,502,916,707,-1,-1,872,498,880,274,-1,-1,-1,-1,741,437,748,373,780,269,979,278,1026,397,1055,510,832,109,917,229,conditioning exercise
210,003688695.jpg,-1,-1,355,674,350,495,474,490,464,663,-1,-1,412,493,421,305,-1,-1,-1,-1,334,437,318,397,339,305,503,304,498,405,482,419,369,167,446,266,conditioning exercise
211,060956433.jpg,-1,-1,352,688,354,479,428,481,441,684,-1,-1,391,480,394,269,-1,-1,-1,-1,213,466,274,386,323,266,465,271,524,388,604,474,346,134,426,249,conditioning exercise
212,060956433.jpg,-1,-1,779,608,769,433,898,433,876,601,-1,-1,834,433,835,226,-1,-1,-1,-1,639,386,693,311,752,225,918,226,979,320,1044,382,799,95,879,199,conditioning exercise
213,050267902.jpg,611,592,640,447,572,303,670,295,-1,-1,555,510,621,299,-1,-1,-1,-1,-1,-1,516,229,514,178,581,116,719,121,-1,-1,760,206,666,17,738,129,conditioning exercise
214,050267902.jpg,169,691,152,516,99,329,178,303,236,478,262,635,-1,-1,116,146,-1,-1,-1,-1,65,341,-1,-1,58,154,173,138,-1,-1,211,276,72,21,195,152,conditioning exercise
215,005147875.jpg,696,506,598,501,516,420,558,423,446,492,430,625,-1,-1,-1,-1,-1,-1,-1,-1,534,99,503,176,516,274,579,290,577,195,600,102,510,180,564,253,conditioning exercise
216,005147875.jpg,901,566,-1,-1,747,510,823,523,673,606,-1,-1,-1,-1,805,272,-1,-1,-1,-1,710,44,702,161,735,259,874,285,894,173,880,24,749,130,845,256,conditioning exercise
217,027864646.jpg,1045,455,908,467,756,541,836,559,-1,-1,-1,-1,-1,-1,806,280,-1,-1,-1,-1,773,49,739,185,721,288,890,272,930,179,945,38,777,160,868,287,conditioning exercise
218,027864646.jpg,21,527,257,483,363,509,482,546,285,497,125,501,412,510,453,376,-1,-1,-1,-1,432,158,366,262,397,374,509,378,538,283,519,164,423,269,521,375,conditioning exercise
219,090826589.jpg,590,683,580,516,733,429,851,468,667,561,-1,-1,792,449,803,207,-1,-1,-1,-1,526,206,640,206,723,195,882,218,911,241,969,266,734,55,844,187,conditioning exercise
220,023956189.jpg,914,759,957,617,911,472,803,477,832,662,839,831,857,475,-1,-1,-1,-1,-1,-1,1019,381,974,403,892,309,837,302,-1,-1,979,489,855,153,936,274,sports
221,023956189.jpg,-1,-1,1607,954,1783,689,1720,739,1706,1076,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1771,386,1670,458,1646,684,1588,843,1629,183,1795,357,sports
222,023956189.jpg,70,683,70,564,80,474,166,459,181,566,193,656,-1,-1,111,383,-1,-1,-1,-1,76,518,51,438,49,380,172,386,175,461,175,509,78,324,140,400,sports
223,014489487.jpg,534,458,666,564,847,434,895,480,880,694,847,872,871,457,933,252,-1,-1,-1,-1,724,422,760,309,859,258,1006,246,1116,232,1222,217,903,171,998,309,sports
224,048945276.jpg,644,491,625,388,605,270,672,277,675,376,-1,-1,639,274,614,177,-1,-1,-1,-1,578,227,-1,-1,582,187,645,167,691,215,622,238,552,111,610,170,sports
225,098565045.jpg,606,398,608,360,623,304,661,301,644,420,659,497,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,622,223,655,215,684,291,623,311,600,164,646,221,sports
226,067213555.jpg,631,409,549,344,638,315,652,326,622,445,-1,-1,-1,-1,634,196,-1,-1,-1,-1,753,301,727,237,671,187,597,204,568,257,555,223,577,110,638,183,sports
227,023763754.jpg,1248,676,1240,596,1239,490,1210,497,1189,583,1168,676,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1240,391,1221,402,1216,471,1189,522,1198,321,1248,387,sports
228,023763754.jpg,888,559,864,599,831,485,763,511,768,601,776,684,797,498,755,428,-1,-1,-1,-1,869,492,826,452,794,423,715,432,696,458,686,485,697,347,747,410,sports
229,023763754.jpg,641,497,647,461,652,411,685,413,682,461,-1,-1,669,412,676,362,-1,-1,-1,-1,643,421,644,391,653,361,699,362,696,393,697,414,664,318,687,351,sports
230,023763754.jpg,455,493,453,463,459,426,487,425,482,475,487,494,473,426,473,361,-1,-1,-1,-1,469,399,448,385,450,362,495,360,505,376,478,408,462,317,490,351,sports
231,023763754.jpg,186,512,215,465,219,406,262,403,259,466,266,518,241,405,241,349,-1,-1,-1,-1,199,422,190,390,214,349,268,348,283,377,300,401,220,305,253,341,sports
232,023763754.jpg,-1,-1,-1,-1,108,487,39,476,-1,-1,-1,-1,74,482,77,356,-1,-1,-1,-1,147,517,131,447,120,357,33,355,23,437,-1,-1,56,257,121,326,sports
233,072821635.jpg,-1,-1,288,697,280,564,403,556,412,691,-1,-1,342,560,333,380,-1,-1,-1,-1,230,590,253,474,251,384,415,375,464,485,472,554,307,216,386,324,sports
234,072821635.jpg,667,607,669,538,661,468,699,468,701,540,-1,-1,680,468,663,349,-1,-1,-1,-1,596,474,611,416,627,354,699,344,713,402,723,444,636,278,678,339,sports
